branch_id,branch_name,month,review_count,average_rating,average_sentiment_score,negative_ratio,is_zero_volume,is_observed,anomaly_score,is_anomaly,alert_reasons,alert_severity
banjara_hills,Banjara Hills,2022-12,53,3.8491,0.035147,0.0566,False,True,0.097097,False,[],low
gachibowli,Gachibowli,2025-09,38,3.8158,0.059768,0.0263,False,True,0.097584,False,[],low
banjara_hills,Banjara Hills,2024-06,74,3.7703,0.021595,0.027,False,True,0.097697,False,[],low
jubilee_hills,Jubilee Hills,2017-10,38,4.1842,0.079183,0.0,False,True,0.097956,False,[],low
gachibowli,Gachibowli,2025-01,38,3.8421,0.062405,0.0263,False,True,0.098692,False,[],low
gachibowli,Gachibowli,2023-10,111,4.2523,0.05995,0.009,False,True,0.099021,False,[],low
banjara_hills,Banjara Hills,2025-07,78,3.8077,0.026894,0.0256,False,True,0.100326,False,[],low
gachibowli,Gachibowli,2024-10,56,4.0179,0.043453,0.0,False,True,0.100643,False,[],low
gachibowli,Gachibowli,2023-09,108,4.037,0.050494,0.0278,False,True,0.100837,False,[],low
jubilee_hills,Jubilee Hills,2026-06,75,3.9467,0.029387,0.0133,False,True,0.10133,False,[],low
jubilee_hills,Jubilee Hills,2025-05,59,3.8136,0.030374,0.0508,False,True,0.101943,False,[],low
banjara_hills,Banjara Hills,2024-02,70,4.0857,0.03148,0.0143,False,True,0.102571,False,[],low
gachibowli,Gachibowli,2026-02,38,3.9737,0.046672,0.0526,False,True,0.10319,False,[],low
jubilee_hills,Jubilee Hills,2025-09,77,4.1299,0.032777,0.026,False,True,0.103632,False,[],low
banjara_hills,Banjara Hills,2026-03,44,4.1136,0.048522,0.0455,False,True,0.103796,False,[],low
gachibowli,Gachibowli,2026-04,41,3.9756,0.052498,0.0488,False,True,0.103845,False,[],low
jubilee_hills,Jubilee Hills,2024-12,110,3.9273,0.037271,0.0273,False,True,0.103881,False,[],low
gachibowli,Gachibowli,2024-08,54,3.8148,0.030004,0.0185,False,True,0.104249,False,[],low
banjara_hills,Banjara Hills,2023-05,43,3.907,0.063137,0.0233,False,True,0.105111,False,[],low
gachibowli,Gachibowli,2024-02,86,3.9419,0.030306,0.0349,False,True,0.105194,False,[],low
banjara_hills,Banjara Hills,2024-01,39,3.7949,0.037025,0.0256,False,True,0.105378,False,['rating_drop_vs_previous_month'],medium
gachibowli,Gachibowli,2026-07,40,3.8,0.035722,0.05,False,True,0.105456,False,[],low
banjara_hills,Banjara Hills,2022-03,75,4.1733,0.060229,0.0,False,True,0.105714,False,[],low
banjara_hills,Banjara Hills,2025-10,59,4.0508,0.029655,0.0169,False,True,0.106824,False,[],low
jubilee_hills,Jubilee Hills,2020-04,25,4.0,0.044276,0.04,False,True,0.107227,False,['review_volume_shift_vs_previous_month'],medium
banjara_hills,Banjara Hills,2024-03,73,4.1233,0.036132,0.0137,False,True,0.108865,False,[],low
banjara_hills,Banjara Hills,2022-04,46,4.1957,0.048048,0.0,False,True,0.109928,False,[],low
banjara_hills,Banjara Hills,2023-10,36,4.1111,0.055394,0.0278,False,True,0.111493,False,[],low
jubilee_hills,Jubilee Hills,2025-04,60,4.2,0.056303,0.0167,False,True,0.111527,False,[],low
gachibowli,Gachibowli,2026-05,45,4.0667,0.045973,0.0,False,True,0.111922,False,[],low
banjara_hills,Banjara Hills,2025-05,47,4.0426,0.032649,0.0213,False,True,0.11197,False,['review_volume_shift_vs_previous_month'],medium
banjara_hills,Banjara Hills,2023-11,35,4.1429,0.053861,0.0,False,True,0.112051,False,[],low
jubilee_hills,Jubilee Hills,2026-01,70,3.9286,0.028602,0.0429,False,True,0.112331,False,[],low
gachibowli,Gachibowli,2024-03,65,4.0769,0.060112,0.0154,False,True,0.113895,False,[],low
banjara_hills,Banjara Hills,2024-07,76,4.0,0.049875,0.0263,False,True,0.116294,False,[],low
banjara_hills,Banjara Hills,2024-04,59,3.9661,0.029274,0.0339,False,True,0.118061,False,[],low
banjara_hills,Banjara Hills,2022-08,50,4.14,0.06197,0.02,False,True,0.120295,False,[],low
jubilee_hills,Jubilee Hills,2025-10,74,3.8784,0.047353,0.027,False,True,0.121423,False,[],low
banjara_hills,Banjara Hills,2022-11,45,4.1111,0.045242,0.0222,False,True,0.124049,False,[],low
